Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Approved field Options,UNI-40,10047,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:r,,UNI Sprint 1,,,,,,,,Done
Verify the Approved field Default option,UNI-39,10046,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:i,,UNI Sprint 1,,,,,,,,Done
Verify the Status field is a dropdown menu,UNI-38,10045,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,18/Feb/22 11:32 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:,,UNI Sprint 1,,,,,,,,Done
Verify the Status field Options,UNI-37,10044,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008l:,,UNI Sprint 1,,,,,,,,Done
Verify the Status field Default option,UNI-36,10043,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008j:,,UNI Sprint 1,,,,,,,,Done
Verify the Newsletter field is a dropdown menu,UNI-35,10042,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,18/Feb/22 11:34 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008n:,,UNI Sprint 1,,,,,,,,Done
Verify the Newsletter field Options,UNI-34,10041,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008f:,,UNI Sprint 1,,,,,,,,Done
Verify the Newsletter field default option,UNI-33,10040,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00087:,,UNI Sprint 1,,,,,,,,Done
Verify the Confirm field Placeholder,UNI-32,10039,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0007z:,,UNI Sprint 1,,,,,,,,Done
Verify the confirm field with same input as Password,UNI-31,10038,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0007r:,,UNI Sprint 1,,,,,,,,Done
Verify the confirm field with blank space,UNI-30,10037,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0007j:,,UNI Sprint 1,,,,,,,,Done
Verify the Password field with Special Characters,UNI-29,10036,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0007b:,,UNI Sprint 1,,,,,,,,Done
Verify the Password field Placeholder,UNI-28,10035,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00073:,,UNI Sprint 1,,,,,,,,Done
Verify the password field with more than 20 characters,UNI-27,10034,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0006v:,,UNI Sprint 1,,,,,,,,Done
Verify the password field with 4 characters,UNI-26,10033,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0006n:,,UNI Sprint 1,,,,,,,,Done
Verify the password field with 20 Alphanumeric characters,UNI-25,10032,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0006f:,,UNI Sprint 1,,,,,,,,Done
Verify the password field with Blank space,UNI-24,10031,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,18/Feb/22 11:33 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:zy,,UNI Sprint 1,,,,,,,,Done
Verify the fax field Placeholder,UNI-23,10030,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:zx,,UNI Sprint 1,,,,,,,,Done
Verify the Fax field with blank space,UNI-22,10029,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:zv,,UNI Sprint 1,,,,,,,,Done
Verify the Fax field with Alphanumeric Characters,UNI-21,10028,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:zr,,UNI Sprint 1,,,,,,,,Done
Verify the Telephone Field with alphanumeric characters,UNI-20,10027,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 3:37 PM,18/Feb/22 11:38 AM,,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i000d9:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Telephone field Placeholder,UNI-19,10026,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:z,,UNI Sprint 1,,,,,,,,Done
Verify the Telephone field with more than 32 characters,UNI-18,10025,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:y,,UNI Sprint 1,,,,,,,,Done
Verify the Telephone field with blank space,UNI-17,10024,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:x,,UNI Sprint 1,,,,,,,,Done
Verify the Telephone with proper input,UNI-16,10023,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:v,,UNI Sprint 1,,,,,,,,Done
Verify the email field placeholder,UNI-15,10022,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:r,,UNI Sprint 1,,,,,,,,Done
Verify the email field with wrong email syntax,UNI-14,10021,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:i,,UNI Sprint 1,,,,,,,,Done
Verify the email field with blank space,UNI-13,10020,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:49 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00012:,,UNI Sprint 1,,,,,,,,Done
Verify the Email field with proper input,UNI-12,10019,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,18/Feb/22 11:33 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i00011:,,UNI Sprint 1,,,,,,,,Done
Verify the Last Name field Placeholder,UNI-11,10018,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,18/Feb/22 11:33 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:zi,,UNI Sprint 1,,,,,,,,Done
Verify the last name field with more than 32 characters,UNI-10,10017,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:z,,UNI Sprint 1,,,,,,,,Done
Verify the Last name field with Blank space,UNI-9,10016,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:35 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:y,,UNI Sprint 1,,,,,,,,Done
Verify the Last name field with Alpabetic Characters,UNI-8,10015,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:34 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:x,,UNI Sprint 1,,,,,,,,Done
Verify the first name field paceholder,UNI-7,10014,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:35 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:v,,UNI Sprint 1,,,,,,,,Done
Verify the first name field with blank space,UNI-6,10013,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:57 PM,18/Feb/22 2:56 PM,18/Feb/22 11:34 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0000y:r,,UNI Sprint 1,,,,,,,,Done
Verify the First name field with more than 32 characters,UNI-5,10012,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:34 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:i,,UNI Sprint 1,,,,,,,,Done
Verify the First Name field with Alphabetic characters,UNI-4,10011,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:48 AM,18/Feb/22 2:56 PM,20/Feb/22 12:49 PM,18/Feb/22 11:34 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0000y:,,UNI Sprint 1,,,,,,,,Done
